id,species,stop_id,start,end,duration,lon,lat
A80,LEYE,47,9/9/2019 15:00,9/15/2019 15:00,6,-56.92562658,-2.396421769
CU,LEYE,48,9/19/2018 15:02,9/23/2018 15:02,4,-64.52703815,-13.97981474
HAL,LEYE,49,9/18/2020 15:02,10/24/2020 15:02,36,-55.53068817,-1.995394684
JC,LEYE,51,8/30/2018 15:02,9/3/2018 15:02,4,-76.61669187,-4.859456446
JC,LEYE,52,9/7/2018 15:02,9/15/2018 15:02,8,-74.19850935,-9.559180917
KE,LEYE,58,8/27/2019 15:02,10/18/2019 15:02,52,-76.49031895,-6.972531152
MH,LEYE,61,8/25/2019 15:02,8/29/2019 15:02,4,-67.85001628,-4.232708136
MJ,LEYE,62,9/13/2019 15:00,9/21/2019 15:00,8,-65.29295945,-10.18099216
MJ,LEYE,63,9/23/2019 15:00,10/9/2019 15:00,16,-64.81157878,-13.07123855
MY,LEYE,67,9/20/2019 15:02,9/30/2019 15:02,10,-64.19258889,-16.02964256
PJ,LEYE,195,9/17/2019 15:00,9/21/2019 15:00,4,-67.5405271,-13.81382406
PJ,LEYE,196,9/23/2019 15:00,10/1/2019 15:00,8,-67.38562166,-13.60157432
P143729,PESA,68,10/2/2016 13:01,10/4/2016 9:37,1.86,-68.65219974,-9.135600886
P143775,PESA,69,11/29/2016 1:13,11/30/2016 22:37,1.89,-67.97572888,-13.43527491
P143775,PESA,70,12/1/2016 13:15,12/8/2016 21:40,7.35,-66.8763929,-14.23735738
P158170,PESA,71,10/6/2016 17:47,10/8/2016 23:29,2.24,-66.37133534,-14.13300006
P158171,PESA,72,9/7/2016 8:29,9/11/2016 21:38,4.55,-68.59766738,-9.004667083
P158171,PESA,73,9/13/2016 20:19,9/16/2016 8:07,2.49,-68.77720223,-9.240000846
P158176,PESA,74,10/8/2016 8:58,12/31/2016 6:32,83.9,-69.10983145,-11.93183318
P158184,PESA,75,9/13/2016 8:37,9/24/2016 9:49,11.05,-72.65675063,-3.446562681
P158184,PESA,76,9/26/2016 20:14,10/1/2016 8:33,4.51,-68.75857326,-6.488857079
P175173,PESA,77,9/2/2018 16:59,9/5/2018 17:01,3,-76.971365,-5.050118551
P175173,PESA,78,9/7/2018 17:01,9/16/2018 16:59,9,-75.72204047,-5.226537044
