"stop_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
316,20,1,0.0616350848897077,0.0616350848897077,0,0.0558126592663031,0.524456548149117,0,0.351671118799628,0.351671118799628,0.00642458889524363
317,20,1,0.311375471030249,0.31115592169444,0.000219549335809121,0.00206461120098687,0.00674324625034964,8.37099601081557e-05,0.603669686307042,0.60375339626715,0.0128872924959192
318,20,1,0.756088501469608,0.756088501469608,0,0.0702758927796072,0,0.0146312260305001,2.42137671123678e-05,0.0635743934033812,0.107574316031039
319,20,1,0.0405613587857665,0.0405613587857665,0,0.803179618887724,0.130928346635446,0,0.0247132346267957,0.0247132346267957,0.000617441064267675
320,20,1,0.27079739535274,0.27079739535274,0,0,0,0.227539400456865,0,0.684768663659805,0.0296253558005353
322,20,1,0.430012670366664,0.430012670366664,0,0.0453098005518986,0.345878432871802,0,0.0263695160701011,0.0263861532305914,0.152408090473901
323,20,1,0.8413810273428,0.84135539024493,2.56370978703556e-05,0.0148340549054644,0.0135303246973913,0,0.0057037683442337,0.0057037683442337,0.124550824710111
324,20,1,0.0155748983201736,0.0155748983201736,0,0.50850396809483,0.367834431535183,6.93631805293385e-06,0.105198062876232,0.105223727253028,0.00286297479678499
325,20,1,0.0600631321872972,0.0600631321872972,0,0.378896831989908,0.297917980149243,4.15876595138511e-06,0.261263508606173,0.261871601732696,0.00125045394085572
326,20,1,0.203903114417394,0.203903114417394,0,0,0.00780318910689512,0.544743632139932,0.192606629993258,0.748853606969556,0.0160304392497499
327,20,1,0.16030079633828,0.16030079633828,0,0,0,0.67326725639548,0.102777938147652,0.805018995640512,0.0132111290567681
329,20,1,0.050581414178143,0.050581414178143,0,0.298747545814812,0.485979307456684,0,0.161725252871546,0.161725252871546,0.00296647967881438
330,20,1,0.379179695158701,0.379173381204205,6.31395449559131e-06,0.00111564412081905,0.00245410618263937,0,0.599530362837379,0.60830273186103,0.005653864255013
331,20,1,0.799062836493131,0.799062836493131,0,0.00134301016010324,0.102051022107887,0.0593821288805593,0.012493512613012,0.0810077793764444,0.0124934831367651
332,20,1,0.178587825290717,0.178587825290717,0,0.0412723989879579,0.615594631734191,0,0.146169022300624,0.146169022300624,0.018376121686511
333,20,1,0.314496183554871,0.314286405301793,0.000209778253078209,0.00152161409642358,0.00818163037214092,0.0067460789366638,0.632725682121866,0.63947176105853,0.00989729976202218
334,20,1,0.970859120326636,0.970859120326636,0,0.000472776557071519,0.000714783309438585,0,0.000947454709285162,0.00105016550741563,0.0268982633090514
